table_id,time_quantum,processes
227,1,"13.7,5.1,9;3.3,5.0,6;11.6,3.9,7;0.1,7.0,8;9.7,2.0,7;11.9,4.2,7;6.5,8.7,8;9.5,1.5,9;6.0,2.2,5;7.8,8.2,8;9.9,9.4,10;8.6,5.9,10;15.2,8.3,6;3.5,3.0,8;0.2,4.9,1;13.1,8.6,5;7.0,6.1,8;0.9,6.7,9"
228,2,"3.1,3.4,5;6.0,5.4,7;5.4,2.6,3;3.3,5.4,3;2.1,14.5,4;2.7,4.2,3;4.9,9.9,7;4.9,10.8,6;0.2,7.3,5"
229,5,"0.7,7.4,4;0.8,9.2,6;1.9,10.5,7;1.6,2.4,4;4.4,14.8,3;2.8,4.7,7;1.1,11.5,5;0,4.3,7;1.1,7.2,3;3.2,14.9,7;0,13.6,3;4.0,11.0,4;5.0,13.1,5;2.7,6.1,5;0.1,5.5,5;4.5,1.7,6;1.8,13.4,7;4.3,12.2,7;0,5.4,4"
230,1,"3.3,4.3,5;4.0,7.5,7;3.7,2.4,9;4.2,0.8,7;1.7,2.9,6;9.2,4.6,8;1.3,2.4,4;0.7,2.0,6;2.3,3.0,3;2.1,1.5,9;4.1,2.1,10;5.8,1.9,9;1.2,1.1,2;4.4,3.6,7;1.7,4.2,9;4.9,1.1,3"
231,2,"8.7,0.6,5;3.7,2.1,9;6.4,1.5,1;0.9,1.9,8;8.8,0.6,5;5.2,0.8,2"
232,4,"14.1,7.2,9;6.6,1.7,5;2.7,7.6,5;15.7,7.0,10;2.6,9.6,7;4.6,2.8,1;15.4,6.1,6;15.0,2.3,8;16.6,7.8,8;6.2,9.4,9;19.8,1.9,9;15.4,7.3,7;17.9,4.5,10;4.4,6.7,5"
233,3,"2.4,13.7,7;0,1.8,6;0,5.1,3;1.5,5.9,4;0.5,13.8,3;2.8,3.9,5;1.2,14.2,7;0,8.5,6;4.1,7.6,7;0,12.7,4;0.5,10.4,4;4.4,14.1,3;0,12.5,5;2.0,2.8,4;2.2,8.2,4"
234,4,"3.7,7.9,5;0.9,7.7,6;10.5,6.5,9;9.7,4.6,10;4.1,3.6,1;1.5,2.6,7"
235,1,"5.0,3.5,5;1.0,4.1,6;4.1,1.8,2;6.2,1.7,6;9.4,0.7,7;8.9,0.6,3;3.2,2.8,6;3.6,1.5,7;7.8,6.5,6;6.7,2.8,7;9.3,0.8,9;7.9,1.3,5;2.5,0.6,5;5.3,2.2,8;9.8,6.9,2;3.1,3.5,2;6.9,2.2,1;9.9,1.2,10"
236,3,"2.3,4.6,5;1.7,7.4,3;2.9,11.4,3;5.2,6.6,6;6.7,5.9,5;2.5,4.6,4"
237,4,"11.2,4.3,6;18.8,8.5,6;6.7,2.4,6;7.7,6.7,6;1.4,7.2,6;11.0,9.7,1"
238,3,"4.2,4.0,6;13.7,6.0,6;14.6,3.6,7;14.9,8.1,1;2.7,4.8,6;17.8,5.7,8;15.6,5.4,9;1.0,9.3,10;4.3,9.8,6;17.5,6.9,5;16.0,8.4,6;9.5,6.5,8;9.5,10.0,10;2.4,4.5,8;9.9,9.0,7;2.5,9.9,6;19.1,4.6,10;15.3,3.1,9"
239,5,"3.0,13.8,3;4.6,6.7,6;6.7,11.5,7;5.9,11.0,5;5.4,14.6,4;2.9,6.6,7;5.8,1.1,3"
240,2,"4.0,3.0,6;0,4.9,7;2.5,3.9,4;5.2,11.2,6;2.6,10.5,7;2.5,9.6,6;4.1,7.6,5;1.7,9.5,7;3.2,3.2,4;4.0,10.7,5;2.6,5.9,3;0.8,11.6,7;6.7,10.1,7;3.8,4.6,5;4.4,12.1,5;2.9,6.1,5;3.0,8.2,4"
241,2,"1.0,0.8,1;8.6,2.0,7;9.3,2.7,4;4.7,4.6,5;7.1,2.4,9"
242,4,"0.1,0.7,8;0.3,2.1,9;1.5,4.5,4;0.8,1.5,1"
243,3,"3.4,14.7,6;4.9,13.7,6;4.1,2.7,7;5.0,2.5,5"
244,2,"3.7,1.1,2;1.5,0.8,9;4.5,0.8,7;8.7,1.2,9"
245,3,"0,5.2,4;0,11.6,7;2.6,11.5,5;0,13.9,5;4.8,5.6,7;0,3.5,5;2.4,8.0,7;1.9,1.3,3;0,6.6,3;2.6,14.0,3;0,7.5,6;0,3.9,5;0,3.0,6;2.6,3.9,4;2.4,10.3,7;1.3,9.0,3;0.9,2.0,5;2.3,7.3,4;0,4.1,4;0.4,8.2,6"
246,2,"4.8,3.8,6;6.4,6.7,6;2.8,5.2,3;2.4,9.7,3"
247,5,"1.6,4.8,4;0.6,14.5,7;0.6,9.5,4;5.9,11.6,3;1.1,9.3,4;3.8,9.0,5;2.9,3.4,7;7.7,1.4,3;3.5,1.3,5;1.5,8.3,7"
248,3,"0,13.8,3;0.9,4.3,5;2.2,2.7,4;0,14.6,6;2.0,10.8,4;1.5,2.0,7;3.6,8.6,6;2.3,12.4,6;3.1,11.3,3;0.8,12.0,7;2.1,5.4,3;0.1,9.9,7;0.5,5.6,5;3.6,1.8,4"
249,2,"5.8,3.0,7;2.8,3.9,2;7.8,2.4,8;3.1,3.1,1;4.3,0.8,10;5.2,2.3,8;3.5,0.6,10;7.6,1.6,3;2.4,1.2,1;4.4,3.5,9;6.7,2.3,1"
250,2,"6.3,3.1,4;7.9,1.2,4;8.8,1.6,5;8.2,5.8,7"
251,4,"1.0,1.4,5;8.0,3.2,8;0.8,5.4,10;8.7,1.9,7;0.8,7.2,10;3.2,0.6,8;9.6,2.2,1;3.6,8.4,2;6.1,0.5,3;5.8,1.2,2;3.8,0.6,3;4.0,2.2,6;2.4,1.4,2;7.5,2.3,3;0.8,2.9,7"
252,4,"9.7,2.1,1;7.9,0.8,9;5.1,0.5,6;4.4,0.6,2;9.0,0.8,6;4.8,1.9,9;1.7,0.6,8;1.8,0.5,9;6.7,2.6,10"
253,2,"10.0,3.5,9;1.2,3.0,7;7.4,1.4,8;6.4,2.9,6;8.8,1.8,10;8.8,2.7,6"
254,2,"2.4,0.5,9;7.0,3.2,4;6.0,3.5,2;7.3,3.8,2;2.6,2.2,9;3.1,5.0,9;0.7,1.2,10;7.2,3.7,4;9.0,9.5,1"
255,1,"13.2,3.0,1;6.5,7.5,7;14.9,5.0,7;12.1,3.2,6;6.5,8.4,9;8.9,5.1,10;16.8,1.6,9"
256,2,"7.6,2.2,8;5.2,0.7,2;0.1,2.6,5;0.7,2.3,5;7.7,1.1,9;8.5,1.1,10;6.5,1.5,8;6.2,5.1,8;4.8,1.1,3;0.7,3.2,6;8.0,2.1,3;4.7,2.6,7;0.1,2.9,6;9.7,0.8,3;6.0,0.8,7;5.0,2.8,8;9.5,1.7,9"
257,,"0,9.2,5;0,8.9,5;0,9.8,5;0,9.3,5;0,8.7,5;0,9.5,5;0,9.4,5;0,9.2,5;0,9.9,5;0,9.0,5;0,10.1,5"
258,1,"0.1,7.9,9;7.7,1.5,1;1.3,3.8,8;16.5,6.4,9;3.1,7.0,10;10.8,4.0,6"
259,3,"9.5,1.5,1;1.0,1.3,10;3.9,1.6,6;4.3,0.9,10;3.0,2.1,9;5.3,1.0,9"
260,3,"8.9,1.4,1;6.4,0.7,7;1.6,0.8,1;2.1,3.5,3;4.9,0.8,9;1.4,2.7,4;7.2,3.0,5;2.3,1.1,7;8.0,1.3,6;8.0,1.3,2;9.6,2.3,9;3.0,0.9,6"
261,5,"7.3,12.8,3;5.0,9.2,3;5.1,1.5,6;3.8,5.9,7;2.3,1.7,6;9.6,10.0,6;6.3,4.2,7;2.2,14.1,5;5.1,14.0,5;3.5,7.5,7;7.1,8.6,5;2.1,10.5,5;7.5,10.0,3;3.3,1.1,7;3.5,11.7,6;4.7,13.8,4;2.4,6.4,6;4.4,9.6,4;5.8,3.2,4"
262,4,"1.9,4.2,5;0,14.0,3;3.4,7.6,6;4.4,5.3,5;2.4,6.5,4;0,6.5,4;0,13.1,3;2.5,13.4,7;2.2,8.9,6"
263,1,"4.7,1.7,8;1.8,1.4,6;6.6,5.7,7;7.0,4.5,1;7.4,5.1,9;9.9,1.5,6;0.0,1.4,2;5.3,2.7,7;7.2,1.2,7;5.3,3.1,3;6.3,0.7,6;7.7,1.6,3;5.6,0.9,2;7.7,1.3,8;4.5,1.9,2"
264,1,"7.4,1.2,7;8.8,1.0,4;1.7,3.0,2;8.9,2.0,5;3.8,1.0,1;1.9,1.7,10;9.8,1.3,9;1.7,2.2,8"
265,1,"18.2,1.3,5;17.1,6.7,1;5.6,1.5,9;11.0,6.4,6"
266,1,"7.7,0.6,4;7.9,1.0,6;1.9,6.6,6;4.7,2.2,8;1.5,2.4,6;8.6,0.6,10;1.6,6.0,10;4.4,1.2,5;1.3,2.0,8;4.6,2.2,1;5.0,1.3,9;2.7,2.2,3;6.7,3.3,4;6.3,2.0,10"
267,3,"4.5,1.1,6;2.0,0.6,6;5.4,3.9,2;9.3,0.7,3;7.9,2.1,1;1.8,0.9,10;4.2,1.0,4;2.6,1.1,5;0.3,3.2,3;4.1,3.2,1;2.5,3.0,7;3.1,0.9,10"
268,2,"1.3,2.7,8;8.2,1.6,10;6.9,5.7,4;0.1,2.4,8;7.6,1.2,4"
269,3,"3.9,7.2,7;6.6,8.6,7;3.8,6.2,6;3.6,8.9,7;1.7,7.0,5;3.2,5.1,7;4.4,7.9,3;1.9,11.1,3;5.4,1.2,5;3.4,10.5,3;3.0,5.4,6;5.9,5.5,7"
270,2,"7.4,13.4,4;8.3,2.4,6;1.4,3.0,4;0.8,5.4,5;9.6,2.4,4"
271,4,"4.5,7.2,5;3.2,12.2,3;5.0,7.2,5;5.4,12.3,7;3.2,6.2,6;5.5,10.0,3;4.9,9.4,7;5.4,8.7,6;7.1,4.4,5;7.1,9.7,6"
272,2,"5.8,0.5,8;9.7,3.2,8;1.5,2.1,6;0.8,2.1,6;4.8,1.0,7;1.6,1.5,10;4.9,1.0,8;8.5,5.4,8;3.5,4.4,1;2.7,3.4,5;6.9,2.2,7;7.4,2.3,2;4.9,1.2,5;7.1,11.3,2;6.4,1.0,6;9.4,0.6,1;3.7,2.5,5;7.0,3.1,1;4.9,1.0,4;1.0,3.1,7"
273,4,"3.6,13.7,6;4.6,2.9,5;1.1,1.5,3;2.3,8.0,7;2.6,7.1,5;0.7,13.1,6;2.9,3.0,4;0,7.8,5;2.4,4.1,5;9.1,7.3,5;0.5,7.1,3;2.2,5.4,5"
274,4,"7.0,5.0,9;5.7,7.2,9;2.9,0.6,2;5.3,1.8,3;5.9,1.2,1;7.9,4.5,3;3.7,2.1,1;4.7,1.5,3;8.6,1.5,1;8.8,2.2,6;8.6,1.5,5;8.6,0.8,6"
275,3,"10.0,3.1,7;18.8,6.8,6;6.3,2.5,7;0.7,3.4,8;7.2,5.9,1;1.6,3.8,5;2.7,1.3,9;14.8,8.3,5;17.8,8.7,10;19.8,4.8,5;13.0,3.2,8;10.2,5.5,9"
276,,"0,10.1,5;0,10.8,5;0,11.5,5;0,10.2,5"
277,3,"14.9,8.7,6;3.1,4.2,5;14.9,6.9,8;0.9,5.2,9;17.9,1.6,7;6.5,5.6,7;3.4,7.5,7;6.8,5.1,5;6.1,1.9,7;6.2,4.3,5;5.5,6.0,1;9.2,1.5,5;7.1,2.7,5;9.5,7.7,6;8.4,6.1,9;13.3,9.3,8;15.4,9.2,8;14.3,6.0,6;3.6,5.0,7"
278,3,"5.9,3.3,5;1.8,1.6,5;5.5,1.7,2;6.8,0.5,3;6.2,0.9,5;1.8,3.3,10;8.4,0.8,1;7.9,4.0,9"
279,4,"3.8,8.1,7;3.2,13.6,4;2.9,7.1,7;4.1,2.2,7;6.7,5.4,6;6.4,12.7,6;8.4,7.5,3;2.2,5.0,4;4.4,10.0,4;5.2,2.0,6"
280,1,"1.8,0.6,6;1.7,1.4,1;4.2,1.3,4;2.3,4.4,7;0.6,2.6,8;3.4,7.1,2;4.9,4.1,5;8.3,2.3,10;2.9,0.8,4;6.2,1.8,2;5.5,1.0,3;8.8,3.9,6;1.5,2.9,4;1.6,4.5,9;3.8,3.6,7;4.0,1.3,5;0.6,1.8,8"
281,2,"5.6,12.8,3;4.4,7.5,4;9.0,11.8,3;0.8,3.7,3;2.2,14.4,7;4.8,3.8,7;1.4,7.5,6;6.9,9.2,4;7.4,6.2,3;3.8,2.5,6;6.2,13.9,4;4.6,7.3,5;2.0,11.6,3;6.9,11.3,6;4.1,9.1,3;4.8,1.7,7;2.4,3.8,7;3.3,5.3,4;5.1,5.7,5;5.3,9.2,5"
282,3,"3.9,9.3,5;2.3,9.8,4;4.8,1.9,3;4.4,13.4,6;3.6,7.0,6;2.8,5.5,7;6.2,12.6,6"
283,,"0,12.4,5;0,11.2,5;0,11.9,5;0,11.4,5;0,11.1,5;0,11.8,5;0,12.8,5;0,10.6,5;0,12.5,5;0,11.3,5;0,10.8,5;0,11.8,5;0,10.7,5;0,11.8,5;0,12.4,5;0,12.3,5;0,12.2,5;0,12.0,5"
284,1,"4.9,1.0,10;7.7,7.3,2;0.2,3.6,10;8.2,2.6,8;0.8,4.8,2;9.5,1.4,6;3.4,0.6,8;6.6,1.6,1;5.2,1.1,2;9.8,0.7,6;0.8,2.2,5"
285,4,"4.0,1.6,7;10.0,2.9,6;3.1,0.6,9;6.1,1.1,6;1.3,1.2,2"
286,1,"12.1,7.2,1;4.1,4.7,7;11.0,2.0,7;9.9,7.3,5;6.5,7.3,5;11.6,4.1,9;11.4,8.7,10;17.7,9.9,6"
287,,"0,7.7,5;0,7.1,5;0,7.0,5;0,6.7,5;0,7.0,5;0,6.7,5;0,7.8,5;0,7.9,5;0,7.7,5;0,7.0,5;0,7.8,5;0,7.7,5"
288,3,"1.7,7.5,3;0,6.8,3;0,7.0,7;0.9,11.6,4;1.2,10.5,7;1.3,7.7,6;3.7,9.0,5;0.8,2.3,3;3.3,14.6,7;0.7,8.7,4;0,11.9,4;1.5,11.9,5;3.0,3.3,6"
289,4,"0.7,1.6,5;19.9,2.9,6;11.8,8.1,10;12.8,4.0,6;9.7,6.0,7;8.4,7.6,9;7.3,3.8,5;2.6,1.1,1"
290,1,"6.4,4.8,8;3.2,2.9,3;2.5,1.1,1;9.3,2.8,7;0.2,3.1,7;8.7,2.2,8"
291,4,"14.6,6.0,8;11.7,6.7,10;15.1,1.9,5;13.0,4.4,5;18.5,2.8,7;8.5,7.3,10;9.5,4.8,5;8.1,5.1,1;6.2,5.9,6;6.6,7.1,6;2.9,3.8,9;17.7,7.2,5"
292,3,"3.2,11.9,5;3.6,1.1,3;1.6,3.4,3;0.3,1.1,6;2.6,3.0,5;2.1,12.0,7;2.9,3.4,4;2.1,4.5,6;4.5,5.1,7;3.3,12.8,3;5.4,9.9,6;2.2,14.0,3;3.1,11.8,3"
293,3,"9.3,2.2,5;1.8,0.5,8;3.0,3.6,4;4.0,1.5,4;3.4,1.8,5;7.9,2.5,4;2.4,6.3,9"
294,,"0,5.2,5;0,5.4,5;0,4.9,5;0,5.4,5;0,5.3,5;0,4.9,5;0,5.0,5;0,5.3,5;0,5.3,5;0,5.8,5;0,5.8,5;0,4.9,5;0,5.2,5"
295,3,"2.6,10.3,6;0.4,8.3,7;3.7,2.6,6;2.4,14.9,7;0.8,5.1,4;0,1.7,7;0,2.8,5;3.3,6.3,6;6.5,14.4,5"
296,1,"10.7,2.4,7;11.0,8.2,1;2.2,5.5,10;10.8,4.4,9;19.6,9.1,8;10.6,2.3,8;5.1,4.3,10;0.7,5.6,6;2.7,6.4,6"
297,1,"2.1,0.9,1;7.4,3.5,1;9.5,1.0,1;7.1,2.1,4;6.1,3.4,6;5.3,0.8,9;2.7,1.6,10;5.2,4.5,5;7.6,0.6,2;2.5,0.6,2;3.5,2.0,6;0.1,1.1,5;6.8,2.0,8;2.6,3.8,3;1.0,2.2,6;2.6,1.0,3"
298,3,"0.4,10.8,6;0,6.4,7;0.5,2.3,4;0,5.7,4;3.0,4.2,3"
299,,"0,8.1,5;0,7.5,5;0,8.1,5;0,7.7,5;0,7.4,5;0,8.5,5;0,7.5,5;0,7.3,5;0,8.2,5;0,8.1,5;0,8.4,5;0,8.2,5;0,8.4,5;0,8.1,5;0,7.6,5;0,7.5,5"
300,2,"0,1.6,4;4.7,6.3,6;4.9,10.5,3;0,6.2,4;1.2,4.7,5;2.2,7.5,7;2.8,1.2,7;0.1,8.2,5;0.4,11.1,7;0,12.3,3;1.4,11.8,4"
301,2,"0.5,4.9,5;0,9.2,5;4.3,13.0,3;2.1,2.5,3;0.1,7.3,5;3.4,2.0,5;3.7,5.7,4;0,8.1,3;1.8,7.1,4"
302,1,"5.6,3.8,9;2.2,4.0,2;8.6,4.3,4;7.3,4.8,3;9.5,1.5,6;5.1,0.7,5;3.5,10.1,3;8.4,2.6,5;3.0,2.1,5;3.8,9.3,2;3.8,0.9,2;4.0,0.6,8;6.4,1.1,9"
303,4,"0,7.3,4;3.4,6.5,4;0,11.5,4;0,5.9,5;1.5,14.4,4;2.9,9.1,7;4.9,8.1,3;0.5,3.4,4;4.3,5.1,3;0,2.0,5;6.6,1.4,7;4.0,6.6,7;3.8,6.6,4;5.1,4.8,3;3.6,1.4,6;2.6,7.6,6;1.1,7.6,5"
304,3,"0.5,2.9,10;2.6,3.1,9;8.2,4.0,8;8.9,3.1,9;4.3,9.3,6;0.7,0.9,2;5.0,1.2,1"
305,1,"2.1,8.0,2;5.7,0.8,1;1.3,1.6,7;6.4,0.5,2;7.4,2.6,1;9.1,1.0,4;7.3,10.4,10;4.4,5.6,6;2.2,1.3,9;2.9,4.5,4;3.4,1.8,4;5.5,3.6,4;6.5,6.5,6;3.2,0.9,7;1.3,3.1,8;1.8,1.7,10;5.8,1.4,9;3.8,1.0,3;7.9,1.7,6"
306,3,"4.9,4.5,7;8.1,6.2,9;10.8,5.2,1;11.9,9.4,6;1.4,1.7,10;13.4,2.7,7;15.0,1.6,8"
307,5,"0.5,13.2,3;5.1,4.4,6;3.1,8.5,7;3.4,9.2,3;3.7,9.8,3"
308,5,"0,9.2,3;3.1,10.0,7;1.5,4.0,6;2.4,1.8,7;0.1,11.1,3;1.6,5.8,7;2.6,8.4,4;0,14.7,5;0,2.4,7;0.5,3.6,6;0,7.4,7"
309,3,"4.5,2.8,7;4.2,1.1,6;1.1,3.3,4;6.6,1.7,3;4.8,3.6,3;3.3,9.5,6;3.4,9.6,3;5.1,10.3,4;2.7,8.5,3"
310,2,"17.9,2.9,9;13.3,5.7,6;18.9,3.9,5;19.8,7.5,5;0.0,4.5,8;16.4,2.3,5;3.6,8.5,7;16.7,8.1,1;18.3,7.2,10;15.6,7.9,9;6.7,5.3,8;19.8,1.4,9;15.8,2.8,7;19.8,7.1,8;10.6,2.2,8"
311,2,"5.4,3.4,6;7.2,3.6,6;4.2,3.7,5;5.4,14.5,3;5.0,9.0,4;7.4,1.1,6;4.3,14.8,7"
312,3,"0.9,4.1,8;4.0,3.1,10;0.7,2.3,7;8.9,8.5,1"
313,3,"1.0,9.4,4;3.8,12.0,7;0.5,5.9,7;2.5,9.3,6;5.1,12.5,7;4.8,13.6,4;3.9,10.8,5;2.0,4.4,6;0,7.5,6;1.5,3.6,6;2.9,9.9,6;5.4,7.8,6;0.3,12.9,7;2.2,6.9,6;4.4,8.5,3;4.2,2.2,6;1.3,3.1,6;2.7,12.8,3;0.8,3.9,4;6.6,4.1,4"
314,3,"2.0,3.2,6;3.4,1.0,9;6.8,2.2,5;1.5,1.5,3;4.7,1.4,6;1.4,1.0,10;8.2,1.7,10"
315,,"0,12.0,5;0,11.7,5;0,12.9,5;0,13.8,5;0,14.0,5;0,13.4,5;0,12.8,5;0,14.2,5;0,12.9,5;0,12.3,5;0,13.5,5;0,13.6,5"
316,2,"0.8,0.9,4;8.3,1.7,5;6.0,1.5,7;6.7,0.5,6;4.3,1.1,8;8.0,0.6,10;2.0,2.2,10;7.5,11.6,10;5.5,1.0,10"
317,5,"2.1,11.5,4;4.4,7.1,5;2.0,14.2,6;5.4,14.9,5;0.8,2.5,6;7.3,10.2,7;0,5.0,4;4.7,6.0,5"
318,4,"3.5,3.5,6;2.9,0.6,9;9.4,1.0,4;7.8,3.8,8;6.7,1.0,1;8.5,0.9,9;0.7,1.0,6;6.9,0.7,3;9.6,1.5,8;3.9,2.0,10;6.0,0.5,5;0.4,2.0,1;5.0,0.7,9;6.9,1.4,2;7.7,0.9,5;1.1,1.5,4;9.6,1.4,1;7.8,2.7,8"
319,,"0,9.8,5;0,8.8,5;0,8.8,5;0,9.5,5;0,8.8,5;0,9.1,5;0,9.9,5;0,9.7,5;0,10.2,5;0,10.4,5;0,9.8,5;0,10.1,5;0,10.5,5;0,10.3,5;0,9.1,5;0,9.1,5;0,9.9,5;0,10.5,5;0,9.1,5;0,9.7,5"
320,3,"5.3,2.8,1;3.1,1.0,7;5.8,1.3,8;0.7,2.6,8;8.9,3.5,1;2.0,1.8,7"
321,3,"0,13.7,3;4.2,10.3,4;2.3,4.7,4;2.2,11.4,6;1.3,14.8,5;1.5,12.8,5;4.6,11.5,5;0.2,2.3,5;4.5,6.6,5;5.2,7.9,4;0,9.6,4;1.6,3.3,3;0,12.8,6;0.2,6.9,5;4.2,7.4,6"
322,3,"1.2,5.4,8;0.7,6.5,5;20.0,6.0,1;2.3,4.8,7;0.0,1.1,6"
323,3,"0.3,13.2,3;0.7,14.4,7;0,8.4,5;0,2.6,3;2.4,13.4,6;1.2,5.1,3;1.0,11.6,3;0,8.8,7;0.6,1.5,4;0,5.7,3;0,4.2,6;1.0,6.0,5;0,7.3,3;0,2.1,5"
324,2,"4.7,0.9,10;3.9,1.7,1;5.1,3.0,5;9.4,2.4,9;2.8,5.0,3;7.1,2.4,2;2.4,0.6,8;2.2,1.0,6;1.9,1.1,3;5.0,2.5,10;5.2,0.9,4;5.2,4.9,10;1.9,2.6,6;2.0,2.0,4;7.3,1.9,3;1.3,0.8,1;2.7,0.9,10"
325,3,"0.8,3.8,4;0.3,3.3,3;0.1,1.6,6;4.5,9.4,6;1.4,4.0,4;0,8.4,7;1.4,5.9,7;0.8,4.7,5;3.5,6.2,5"
326,2,"8.0,1.9,3;3.1,2.0,9;6.6,0.8,10;4.6,2.9,3;5.3,1.3,8"
327,3,"0.0,0.6,1;4.0,0.9,5;3.9,0.6,8;6.9,1.5,6;2.0,1.5,8;3.9,1.0,2;2.0,2.1,5;9.7,2.7,1;2.9,1.0,3;2.7,7.1,8;4.6,3.3,8;2.7,4.1,1;1.5,0.6,9;9.9,0.8,10;0.5,3.9,7"
328,3,"0.0,9.5,3;2.0,14.7,4;0,8.0,7;0,6.1,3;1.2,4.0,5;2.8,9.0,6;1.5,2.1,6;2.6,5.6,3;0.0,4.0,6;5.3,7.1,4;0.0,10.7,3;0,4.8,3;1.8,7.6,7;5.5,12.4,3;0.0,2.4,5"
329,4,"1.5,0.7,2;5.0,3.0,3;6.6,0.7,1;0.6,7.3,8;5.1,7.5,5;4.8,1.9,2;7.6,6.7,9;1.1,0.7,10;3.1,5.0,6"
330,4,"5.6,0.7,6;0.9,0.5,10;0.2,1.8,5;8.6,2.0,4;4.8,1.9,8;0.1,0.6,1;8.3,1.8,8;3.7,3.8,7;2.0,1.0,9;7.2,2.6,6;3.2,0.5,8;7.3,2.8,10;2.2,1.3,3;6.1,1.3,1;2.1,0.8,9;2.7,4.6,5;8.9,3.5,4;5.9,1.4,1"
331,3,"3.3,3.4,4;5.1,3.3,1;5.0,1.0,3;1.4,7.2,7;6.1,0.8,3;1.2,5.0,1;2.8,0.7,3;3.8,1.6,4;0.1,2.5,6;4.4,1.4,5;0.9,6.6,8;4.8,1.3,6"
332,2,"19.9,4.0,6;18.7,9.5,6;19.1,1.2,7;1.4,7.2,6;0.5,1.4,6;15.5,9.7,9;1.8,9.5,9;0.2,7.8,8;19.3,9.3,6;4.5,8.4,10;0.7,9.3,10;2.5,4.3,10;5.9,4.5,6;9.5,1.6,8;2.2,5.2,1;10.1,6.6,8"
333,1,"2.1,0.8,3;9.2,0.9,8;7.7,3.2,6;8.4,1.0,8;3.8,2.0,6;2.3,1.8,2;9.1,5.6,8;9.9,3.4,5;9.2,5.5,1;5.4,1.2,7;2.4,4.3,2;6.3,1.4,10;8.4,0.9,1;4.0,7.5,1;5.6,1.6,9"
334,,"0,12.0,5;0,12.9,5;0,13.2,5;0,12.9,5;0,13.4,5;0,13.0,5;0,13.8,5;0,13.8,5;0,13.7,5;0,11.8,5;0,12.0,5;0,11.8,5"
335,2,"6.5,0.8,2;7.0,7.4,1;5.7,4.1,2;9.7,4.1,8;3.3,3.9,7;8.2,1.5,2;0.2,1.3,3;3.6,0.6,5"
336,4,"2.3,1.6,7;4.5,0.8,5;7.4,1.6,6;4.3,5.6,8;9.5,6.2,4;9.0,4.9,10;6.8,1.0,1;7.8,3.5,8;6.3,3.8,4;0.7,0.9,4;4.2,2.6,2;0.3,1.4,5;6.2,4.5,3;3.2,2.0,9;4.7,0.7,3;3.8,1.4,4;6.6,2.4,8"
337,3,"3.2,0.7,6;7.1,0.6,8;0.7,5.8,2;6.2,5.0,4;9.3,6.2,6;1.2,2.6,4;7.1,4.4,1;2.3,1.7,4;4.2,3.5,10;8.6,1.8,7;8.2,0.9,8;2.8,8.4,9;2.8,2.6,1;6.1,3.4,3;2.1,1.0,9"
338,2,"8.5,6.8,6;16.0,4.2,1;7.2,3.8,5;12.2,7.3,9;13.5,2.8,5"
339,4,"1.0,12.6,4;4.8,12.9,4;5.2,4.4,6;2.6,9.2,3"
340,3,"4.6,3.8,9;0.3,2.0,7;2.8,2.5,10;6.9,2.8,4;5.4,1.9,5"
341,2,"0.6,4.6,5;4.3,7.5,5;6.7,10.5,4;8.0,4.3,4;2.5,9.9,4"
342,1,"1.0,2.1,10;0.8,0.8,9;8.9,1.6,3;0.7,1.3,10;5.9,5.0,4;1.0,1.8,4;4.5,1.3,10;1.8,1.6,10;6.6,0.5,7;7.3,2.2,4"
343,2,"3.5,9.6,5;4.3,6.0,4;0,1.2,5;0.8,8.3,5;3.6,5.9,4;0.8,8.6,3;0,2.4,5;2.5,7.3,4;1.5,9.9,7;5.7,9.5,4;1.7,13.0,5;3.2,10.6,6;3.0,8.0,6;3.7,7.2,4;2.0,5.0,6;3.3,13.4,5;1.9,3.0,3;2.7,7.1,5"
344,3,"7.4,4.4,10;13.0,5.9,9;19.4,9.4,6;7.5,2.4,6;13.4,7.5,6;9.4,4.6,6;7.7,2.1,6;16.5,8.7,9;16.9,5.1,10;10.2,3.6,8;11.6,2.5,6;16.5,3.2,10;17.4,3.4,1;12.3,6.8,7"
345,5,"0,5.7,5;0,1.6,3;0,1.0,3;4.3,6.0,7;1.6,14.3,4;1.5,14.4,4;4.0,9.8,4;3.3,7.0,4;2.0,7.5,4;4.7,8.6,6;1.3,13.4,5;3.4,2.3,7;3.1,7.0,5;3.8,2.6,4;1.0,9.5,3"
346,4,"7.5,2.4,1;6.1,1.5,4;5.0,1.2,6;0.9,4.2,8;6.8,2.5,6;8.2,1.7,1;2.0,3.1,3;8.0,1.1,9;4.2,1.6,9;2.1,1.0,5;5.3,6.2,10;9.3,2.1,8;6.8,2.1,1;8.6,8.7,6;3.9,8.8,10;4.0,2.3,5;5.8,0.5,8;0.9,0.5,5;7.3,1.9,5"
347,2,"1.9,5.0,6;2.9,2.3,5;3.9,1.2,6;1.7,4.1,7"
348,1,"3.3,1.9,2;2.0,3.5,6;2.5,0.9,8;8.7,1.4,2;5.9,3.4,1;9.7,3.9,7;9.5,0.8,6;8.0,2.3,9;0.7,3.5,7;7.1,3.2,5;5.3,1.1,3;4.4,4.8,4"
349,3,"11.2,3.2,8;17.3,6.7,6;16.7,1.1,1;12.9,2.0,7;10.6,3.8,7;2.5,3.8,8"
